ID,Condição / Regra,Entrada de Exemplo,Ação Esperada,Resultado Esperado
1,Subtotal > 1000,Subtotal = 1200,Aplica desconto de 20%,"Subtotal final = 1200 × 0.8 = 960,00"
2,500 < Subtotal ≤ 1000,Subtotal = 700,Aplica desconto de 10%,"Subtotal final = 700 × 0.9 = 630,00"
3,Subtotal ≤ 500,Subtotal = 400,Nenhum desconto aplicado,"Subtotal final = 400,00"
4,3–4 itens do mesmo tipo,Qtd = 3,Aplica desconto de 5% sobre o subtotal do tipo,Subtotal tipo = subtotal × 0.95
5,5–7 itens do mesmo tipo,Qtd = 5,Aplica desconto de 10% sobre o subtotal do tipo,Subtotal tipo = subtotal × 0.90
6,≥8 itens do mesmo tipo,Qtd = 8,Aplica desconto de 15% sobre o subtotal do tipo,Subtotal tipo = subtotal × 0.85
7,Peso ≤ 5 kg,Peso = 5,Frete isento,"Frete = 0,00"
8,5 < Peso ≤ 10 kg,Peso = 6,"Frete = R$2,00/kg + taxa mínima R$12,00","Frete = (6×2)+12 = 24,00"
9,10 < Peso ≤ 50 kg,Peso = 20,"Frete = R$4,00/kg + taxa mínima R$12,00","Frete = (20×4)+12 = 92,00"
10,Peso > 50 kg,Peso = 60,"Frete = R$7,00/kg + taxa mínima R$12,00","Frete = (60×7)+12 = 432,00"
11,Região = Sudeste,Sudeste,Multiplica frete × 1.00,Frete sem alteração
12,Região = Norte,Norte,Multiplica frete × 1.30,Frete aumenta 30%
13,Região = Nordeste,Nordeste,Multiplica frete × 1.10,Frete aumenta 10%
14,Cliente Ouro,Ouro,Desconto de 100% sobre o frete,"Frete final = 0,00"
15,Cliente Prata,Prata,Desconto de 50% sobre o frete,Frete final = frete × 0.5
16,Cliente Bronze,Bronze,Sem desconto sobre o frete,Frete final = frete
17,Item frágil = Sim,Sim,"Soma R$5,00 × quantidade ao frete",Frete += 5×qtd
18,Item frágil = Não,Não,Sem taxa adicional,Frete inalterado
19,Quantidade ≤ 0,Qtd = 0,Entrada inválida,Lança exceção (assertThrows)
20,Preço unitário < 0,Preço = -10,Entrada inválida,Lança exceção (assertThrows)
21,Cliente nulo,Cliente = null,Entrada inválida,Lança exceção (assertThrows)
